GeneId.Ensembl;PANC.1;PANC.2;SCR.1;SCR.2;SH.1;SH.2;mock.1;mock.2;mrp4.1;mrp4.2;Xmock.1;Xmock.2;Xmock.3;Xmrp4.1;Xmrp4.2;Xmrp4.3;GeneSymbol
ENSG00000151500.15;1081;1003;506;626;458;702;847;648;623;642;703;640;841;948;729;745;THYN1
ENSG00000151498.12;697;771;332;426;361;409;739;697;814;841;234;269;423;679;411;457;ACAD8
ENSG00000166105.16;0;1;0;2;3;0;81;108;21;28;83;69;89;40;38;48;GLB1L3
ENSG00000149328.15;259;254;233;237;61;70;721;860;625;669;826;609;812;994;672;737;GLB1L2
ENSG00000109956.13;5;9;3;2;4;0;9;39;18;21;3;13;2;0;17;10;B3GAT1
ENSG00000255545.8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;B3GAT1-DT
ENSG00000251226.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LINC02714
ENSG00000285735.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LINC02717
ENSG00000255512.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LINC02684
ENSG00000226210.3;104;85;81;94;100;79;288;263;219;254;286;319;525;734;392;375;WASH8P
ENSG00000249054.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FAM138D
ENSG00000120645.12;2;2;0;0;0;0;0;10;5;4;4;0;0;0;3;3;IQSEC3
ENSG00000249695.6;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;LOC574538
ENSG00000111181.13;21;51;3;1;10;7;4;11;0;2;14;17;13;0;5;12;SLC6A12
ENSG00000256577.2;0;0;0;0;0;0;5;9;0;1;5;0;0;0;0;1;SLC6A12-AS1
ENSG00000010379.16;3;7;2;2;1;0;7;13;6;1;8;13;10;11;11;6;SLC6A13
ENSG00000255746.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LOC102723544
ENSG00000073614.13;774;1121;475;452;504;461;800;1162;1098;1180;629;750;874;869;546;688;KDM5A
ENSG00000120647.10;407;528;195;212;196;210;314;365;489;525;308;352;497;399;320;264;CCDC77
ENSG00000139044.12;147;313;84;2;7;5;417;675;493;521;357;461;702;1112;662;663;B4GALNT3
ENSG00000171840.13;24;15;2;4;4;1;1;2;0;3;6;4;0;0;12;0;NINJ2
ENSG00000238370.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU7-103P
ENSG00000177406.5;35;36;18;11;19;17;29;37;26;15;42;37;57;68;50;28;NINJ2-AS1
ENSG00000060237.19;3707;6632;2303;2132;2616;2153;2169;3231;1790;2466;1658;1747;2223;2589;1423;1722;WNK1
ENSG00000221439.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU4ATAC16P
ENSG00000002016.18;209;226;119;144;149;151;169;216;143;214;137;125;165;199;128;138;RAD52
ENSG00000082805.21;996;1631;716;846;891;731;703;1095;750;905;356;282;472;768;298;583;ERC1
ENSG00000249628.3;0;3;0;1;0;0;7;2;4;3;0;6;0;0;0;1;LINC00942
ENSG00000111186.13;634;554;460;259;1326;1566;179;294;105;154;216;146;168;197;141;196;WNT5B
